"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Casa","Velez Sarsfield",3,2,95,199900
"Departamento","Nuñez",1,1,44,147000
"Departamento","Almagro",1,1,40,92294
"Departamento","Almagro",1,1,49,115000
"Departamento","Almagro",1,1,40,77000
"Departamento","Almagro",1,1,40,88900
"Departamento","Almagro",1,1,40,88798
"Departamento","Almagro",1,1,49,110975
"Departamento","Almagro",1,1,40,92943
"Departamento","Almagro",1,1,40,99000
"Departamento","Almagro",1,1,40,96984
"Departamento","Palermo",1,1,32,125000
"Departamento","Palermo",1,1,40,99500
"Departamento","Palermo",1,1,36,121600
"Departamento","Palermo",3,2,90,285000
"Departamento","Palermo",1,1,45,150000
"Departamento","Palermo",1,1,54,140000
"Departamento","Palermo",2,1,40,110000
"Departamento","Palermo",1,1,33,110000
"Departamento","Palermo",1,1,40,96000
"Departamento","Caballito",1,1,40,152732
"Departamento","Villa Crespo",1,1,36,108000
"Departamento","Villa Crespo",1,1,38,94800
"Departamento","Villa Urquiza",1,1,32,88000
"Departamento","Villa Urquiza",2,2,75,225000
"Departamento","Parque Chacabuco",1,1,70,225000
"Departamento","Barracas",1,1,31,85000
"PH","Almagro",2,1,48,129900
"Departamento","Nuñez",2,1,53,185000
"Departamento","Nuñez",2,1,39,140000
"Departamento","Retiro",2,1,58,158000
"Departamento","Almagro",2,1,42,98000
"Departamento","Almagro",2,1,48,99000
"Departamento","Almagro",2,1,32,80000
"Departamento","Almagro",2,1,52,159900
"Departamento","Palermo",2,1,32,87000
"Departamento","Palermo",2,1,64,178000
"Departamento","Palermo",2,1,55,310000
"Departamento","Palermo",2,1,50,172000
"Departamento","Palermo",2,2,83,208000
"Departamento","Belgrano",2,1,53,185000
"Departamento","Floresta",2,1,41,83000
"Departamento","Recoleta",2,1,29,134000
"Departamento","Recoleta",2,1,39,135000
"Departamento","Saavedra",2,1,48,135000
"Departamento","Balvanera",2,1,69,155000
"Departamento","Colegiales",2,1,39,85000
"Departamento","Colegiales",2,1,38,105000
"Departamento","Parque Chas",2,1,50,165000
"Departamento","Barrio Norte",2,1,31,90000
"Departamento","Villa Crespo",2,1,49,104500
"Departamento","Villa Crespo",2,1,43,119000
"Departamento","Villa Devoto",2,1,84,192000
"Departamento","Villa Devoto",2,1,62,140000
"Departamento","Puerto Madero",2,1,54,390000
"Departamento","Villa Ortuzar",2,1,50,165000
"Departamento","Villa Urquiza",2,1,45,169000
"Departamento","Velez Sarsfield",2,1,41,83000
"Departamento","Parque Chacabuco",2,1,48,105000
"Departamento","Parque Chacabuco",2,1,42,86000
"Departamento","Parque Chacabuco",2,1,49,79000
"Departamento","Villa Pueyrredón",2,1,63,150000
"PH","Almagro",3,1,60,125000
"PH","Palermo",3,2,100,315000
"PH","Palermo",3,2,100,315000
"PH","Barracas",3,1,83,115000
"PH","Saavedra",4,1,96,259000
"PH","Caballito",3,1,100,180000
"PH","Caballito",5,1,187,269900
"PH","Villa Real",3,2,110,190000
"PH","Villa Crespo",3,1,68,175000
"Departamento","Once",3,1,84,130000
"Departamento","Flores",3,2,83,209000
"Departamento","Palermo",3,1,78,270000
"Departamento","Palermo",3,2,76,340000
"Departamento","Palermo",3,1,70,194500
"Departamento","Palermo",3,2,75,255000
"Departamento","Belgrano",3,1,50,139000
"Departamento","Belgrano",3,4,113,439000
"Departamento","Belgrano",3,3,157,729000
"Departamento","Belgrano",3,2,68,255000
"Departamento","Recoleta",3,1,92,350000
"Departamento","Caballito",3,1,100,180000
"Departamento","Caballito",3,1,50,150000
"Departamento","Caballito",3,1,53,128000
"Departamento","San Telmo",3,1,67,150000
"Departamento","Colegiales",3,2,70,185000
"Departamento","Las Cañitas",3,4,113,439000
"Departamento","Villa Crespo",3,1,58,128000
"Departamento","Villa Crespo",3,1,70,125000
"Departamento","Parque Chacabuco",2,1,45,101000
"Departamento","Villa Santa Rita",3,1,97,225000
"Departamento","Centro / Microcentro",3,1,52,92000
"PH","Flores",4,1,150,245000
"PH","Villa Ortuzar",4,1,80,200000
"Casa","Villa del Parque",4,3,184,385000
"Departamento","Retiro",5,3,133,370000
"Departamento","Almagro",4,3,108,270000
"Departamento","Almagro",4,2,91,220000
"Departamento","Almagro",4,1,77,189000
"Departamento","Palermo",5,2,190,350000
"Departamento","Palermo",4,2,77,239000
"Departamento","Palermo",4,1,85,260000
"Departamento","Palermo",4,2,100,252000
"Departamento","Belgrano",4,1,91,290000
"Departamento","Belgrano",4,3,180,790000
"Departamento","Recoleta",4,2,85,280000
"Departamento","Saavedra",4,2,94,195000
"Departamento","Caballito",4,2,128,613567
"Departamento","San Telmo",4,2,127,310000
"Departamento","San Telmo",7,2,277,595000
"Departamento","Barrio Norte",4,1,78,215000
"Departamento","Parque Centenario",4,2,111,210000
"Departamento","Belgrano",5,3,170,580000
"Departamento","Villa Crespo",5,2,202,224000
"Casa","Almagro",1,1,40,110000
"Casa","Chacarita",3,1,76,199000
"Casa","Villa Devoto",3,2,125,249000
"Casa","Villa Pueyrredón",1,1,59,147000
"Departamento","Boedo",1,1,42,99500
"Departamento","Abasto",1,1,43,94000
"Departamento","Flores",2,2,120,252000
"Departamento","Palermo",1,1,56,165000
"Departamento","Palermo",5,3,220,795000
"Departamento","Palermo",2,2,100,325000
"Departamento","Palermo",3,1,65,182000
